date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:47:07	150692/150692	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:17:07%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/checkout/cart/	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/checkout/cart/index.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
21:47:08	290106/290106	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:17:08%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/shop.html?view=grid	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/shopb92a.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
21:47:10	294530/294530	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:17:10%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/shop.html?view=masonry	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/shop948f.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
21:47:12	308808/308808	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:17:12%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/shop.html?view=packery	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/shop7eb6.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
21:47:13	286875/286875	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:17:13%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/shop.html?view=sidebar-canvas&product_list_mode=list	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/shop4169.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
21:47:15	294649/294649	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:17:15%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/shop.html?mode-show=2	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/shop6490.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
21:47:17	294649/294649	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:17:17%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/shop.html?mode-show=3	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/shop5939.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
21:47:18	294649/294649	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:17:18%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/shop.html?mode-show=4	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/shopda75.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
21:47:20	291266/291266	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:17:20%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/shop.html?view=grid&mode-show=5	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/shop307d.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
21:47:22	291368/291368	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:17:22%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/shop.html?view=sidebar-canvas	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/shop42b3.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
21:47:23	289566/289566	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:17:23%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/shop.html?product_list_mode=list	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/shop0744.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
21:47:25	293489/293489	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:17:25%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/shop.html	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/shop.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
21:47:27	302716/302716	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:17:26%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/shop.html?load-more=button	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/shop53ee.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
